a_sum,ak_sum,predicted,observed_topsis
-0.20783589670611827,-0.10880874682639238,False,False
-0.21296393416038245,-0.11120749594315865,False,False
-0.19127877076471161,-0.10054519526372094,False,False
-0.19994742314957925,-0.10561713123766123,False,False
-0.2331014146643537,-0.12208761101145858,False,False
-0.1350152300046845,-0.050715053311988306,False,False
-0.10610551764296364,-0.017047081428050823,False,True
-0.24607646277055362,-0.14223633343417957,False,False
-0.840560669490625,-0.6927674391924409,False,False
-0.07198360910124296,0.024889381979485432,True,True
-0.220453053984422,-0.11520087822728425,False,False
-0.19363083359323552,-0.10108191008325954,False,False
-0.20126743360956859,-0.10623463763374455,False,False
-0.19243561141391727,-0.10119899898888589,False,False
-0.2212823837227288,-0.11500997159470011,False,False
-0.21558714617331762,-0.11330307601086267,False,False
-0.17829791184485727,-0.07812689159978232,False,False
-0.1472512107704018,-0.04146124313177047,False,False
-0.19557823454152823,-0.10274864503775319,False,False
-0.18904198470803982,-0.09233651117773316,False,False
-0.12975508395299007,-0.049738555028545614,False,False
-0.20776300288215305,-0.1087989928209962,False,False
-0.18486711231452835,-0.0970553889767777,False,False
-0.19942814495086403,-0.10244936048819953,False,False
-0.19621492935417623,-0.10311151296318115,False,False
-0.20512731690498104,-0.10426910934125792,False,False
-0.25155474400002525,-0.13814524943746276,False,False
0.028167785906396348,0.07802164022110292,False,False
-0.19330253009012208,-0.08479090182851745,False,False
0.4121268638243383,0.3716946967545153,False,False
-0.17879154913541453,-0.079484265312191,False,False
-0.19350081846717984,-0.101975820659497,False,False
-0.19332794679366475,-0.08578712135648123,False,False
0.041984751966194486,0.07530471291252894,False,False
-0.14111457197418348,-0.03632633284029548,False,False
-0.02816636112353111,0.03736358181718591,True,True
-0.2268761616111047,-0.11813246920147244,False,False
-0.21543202317429047,-0.11244515941252994,False,False
-0.21529706379272096,-0.11237945660269792,False,False
0.09058607802802031,0.146284639102436,False,False
-0.18132693372905323,-0.09056430337455698,False,False
-0.20240708052719364,-0.1054777324611327,False,False
-0.2077496695608506,-0.10878497110745114,False,False
-0.21948890766684184,-0.11467670177080475,False,False
-0.20043006065486046,-0.10532752624420351,False,False
-0.17392989410684262,-0.08421898750601471,False,False
-0.300275980415027,-0.18828577347772332,False,False
-0.2124428398698066,-0.1110582014084984,False,False
-0.21627420610910722,-0.11261084254865088,False,False
-0.22002087779429327,-0.11454343911035318,False,False
-0.2120712149076582,-0.1119834076047185,False,False
-0.23020493120659236,-0.12090749621455765,False,False
-0.20286044604069792,-0.1061393735078274,False,False
-0.2097153039235637,-0.11008075928533327,False,False
-0.20124763773541288,-0.1042998031366803,False,False
-0.1993613139741674,-0.10494420782441326,False,False
-0.19642425730200286,-0.10228089737638116,False,False
-0.20600679850683898,-0.10775836046486108,False,False
-0.22748325136514871,-0.11880243364940021,False,False
-0.24153597271124877,-0.12531998309306194,False,False
-0.2150375252076169,-0.11232808977208608,False,False
0.26329881363363256,0.18902393223840092,False,False
0.41645435370099787,0.47433438099701886,False,False
-0.17959248978345843,-0.08565238191547059,False,False
-0.07009914144782048,0.01643883819723419,True,True
-0.1974678750821525,-0.09716917775017754,False,False
-0.20604062686532534,-0.10794232202145014,False,False
-0.2256930007551372,-0.11736484083270327,False,False
-0.19371950040226488,-0.0836858583900467,False,False
-0.2055141279937015,-0.10807054370233293,False,False
-0.21996993100805567,-0.11372727496644583,False,False
-0.3846843441252501,-0.26993351045334923,False,False
-0.19670335512355713,-0.10334013652303206,False,False
-0.2176778411342593,-0.11069637845696904,False,False
-0.2184443263230379,-0.1142118739889076,False,False
-0.2214338293784889,-0.11423698476606087,False,False
-0.147169378881982,-0.044990091462022944,False,False
-0.234745368321019,-0.13432580375422482,False,False
-0.21303525038166632,-0.11137655761904076,False,False
-0.20149627835963688,-0.10535712146389993,False,False
-0.021767901818098172,0.025775393206876145,True,True
-0.0920947846274934,-0.020138147389815172,False,True
-0.1954007245737925,-0.1028928915065819,False,False
-0.045674365232428994,0.051421099872120436,True,True
-0.2325568219281194,-0.12098833480705545,False,False
-0.20605090371979443,-0.09759231541509494,False,False
-0.20383837051674789,-0.10709625353524291,False,False
0.41228759824141015,0.40113183604176866,False,False
-0.21194308991630217,-0.11096092863096237,False,False
-0.2126296897629864,-0.11136085706671536,False,False
-0.22721310577986198,-0.11857966388115174,False,False
-0.195052453082057,-0.10261523080441508,False,False
-0.8442309418711973,-0.6498641903149287,False,False
-0.21698803260477106,-0.11342032496153759,False,False
-0.18826395797712991,-0.0922387471180801,False,False
-0.1733576446501608,-0.07621623944659703,False,False
-0.20330176656055574,-0.10703353841108115,False,False
-0.23731657585401875,-0.12390705028532333,False,False
-0.21540528182911578,-0.11258232742943,False,False
-0.17572432870739743,-0.08826033962673965,False,False
-0.2028177548407814,-0.10578842297777202,False,False
-0.20999661129271935,-0.10979001077208547,False,False
-0.23425951687203678,-0.12222740595596561,False,False
-0.19457950506820798,-0.10180329291688273,False,False
-0.19939773562898316,-0.10427934171895242,False,False
-0.18231859644694787,-0.09019045442776538,False,False
-0.22106843908097296,-0.11935631951633174,False,False
-0.2738890834263279,-0.15186053000827107,False,False
-0.23340373771904394,-0.12149090448683925,False,False
-0.18911476599937038,-0.09859781133461873,False,False
-0.2143181705559517,-0.11240794468319984,False,False
-0.21730695339050932,-0.11375934989644212,False,False
-0.21116529597307598,-0.11040047649014152,False,False
-0.1961624685385736,-0.09869860915195122,False,False
-0.21681202240383152,-0.1144009452040715,False,False
-0.23855545979122672,-0.14244354401774778,False,False
-0.20792021419028786,-0.10843726379409327,False,False
-0.19994805456403195,-0.10414087777342992,False,False
-0.21833724422761985,-0.11424126955183977,False,False
-0.1907490190167021,-0.09396117354398781,False,False
-0.19801543718735695,-0.10398106232647536,False,False
-0.20425630430340025,-0.10735186489122163,False,False
-0.03199037060434818,0.0430963203407898,True,True
-0.2092368809600531,-0.11135425473206567,False,False
-0.22037519736695615,-0.11516422133677695,False,False
-0.21555762261629643,-0.1132568414954448,False,False
-0.20526279185700397,-0.10823732382527748,False,False
-0.23592499239018055,-0.12279894829728427,False,False
-0.2101626382963316,-0.10764748705297557,False,False
0.45741120838239874,0.46709170869753375,False,False
-0.23111001852144297,-0.12040206149135924,False,False
-0.193151826285512,-0.10195984543701879,False,False
-0.20647557559301175,-0.10605909310734501,False,False
-0.22021272405131562,-0.11483592632442426,False,False
-0.203586675760476,-0.10644244137159811,False,False
-0.2319928520837305,-0.12134974047551061,False,False
-0.2032289824256221,-0.10688587370494185,False,False
-0.220824902083106,-0.11561583772875009,False,False
-0.13890555870978447,-0.05898467134759941,False,False
-0.21564605737426204,-0.11318691357479058,False,False
-0.14407427439292875,-0.05070768981406515,False,False
0.41917006198184986,0.4287196280826198,False,False
-0.19413597555660472,-0.10208808036179946,False,False
-0.19679977134175608,-0.10333142243971122,False,False
-0.212760490361285,-0.11121651219611538,False,False
-0.21464310988971946,-0.10982280759126568,False,False
-0.1296650341962255,-0.038107394972669295,False,False
-0.19246486613714409,-0.09775660957659238,False,False
-0.20587427519246457,-0.10765044370521028,False,False
-0.23954246725598566,-0.12368654819766257,False,False
-0.2721320980674769,-0.1579573970091044,False,False
-0.20794363408810532,-0.10874256642241953,False,False
-0.21558397442552635,-0.11322792618430406,False,False
-0.2195464770431078,-0.11910570887617962,False,False
-0.2256545672851474,-0.11637565405534861,False,False
-0.21326025682941913,-0.11215985121335018,False,False
-0.21950842805605156,-0.1148515455827643,False,False
-0.20837861808319078,-0.1088412267555442,False,False
-0.19294614417995662,-0.09722457881578504,False,False
-0.20471450839291688,-0.10618592565113358,False,False
-0.2130028263171896,-0.11139167074354549,False,False
-0.19102918833108407,-0.1003923287928921,False,False
-0.22364691546326967,-0.11718840075947386,False,False
-0.235660767100173,-0.12294694941745096,False,False
-0.20116068462838654,-0.1059882125157155,False,False
-0.21906282112736528,-0.11401444961969526,False,False
-0.12458687997240742,-0.026948903587246956,False,True
-0.1999181617073394,-0.10349197042787742,False,False
-0.2268206969370795,-0.11816909646276305,False,False
-0.1912528377083379,-0.10126535873375749,False,False
-0.21486711755450014,-0.11230077813732094,False,False
-0.20734896824676227,-0.10907980170127185,False,False
