predictor,component,slope,se,t,coef_n_alt,coef_n_crit,r2,spearman,mean_tau
log_nu,normalization only,-0.17700228228904438,0.009829711013074525,-18.006865314108744,0.0020463483970314506,-0.0023337523890161367,0.11987154352332674,-0.39494200004056873,0.7555674603174604
log_nu,aggregation only,0.0033772334469359434,0.003864749540049351,0.8738557083553771,-0.0023343856591221553,-0.018934263684040793,0.015270651859467743,-0.005751917880206665,0.9007583333333334
log_nu,both,-0.16720164426113393,0.010363629099700471,-16.13350329818021,0.0014093970317487282,-0.011501239419363448,0.09918921979618045,-0.3599332508888358,0.716072619047619
delta_w,normalization only,-1.2248946944934682,0.03247384455983794,-37.719423465134085,0.0013496960423122623,-0.008471630718150101,0.36437310262378464,-0.6043265435786429,0.7555674603174604
delta_w,aggregation only,-0.035435898295302415,0.016149730148963762,-2.1942099322059656,-0.0024655986022359593,-0.017984726578001282,0.016311185796955674,-0.040373145544499806,0.9007583333333334
delta_w,both,-1.2325316541940705,0.033523672424101224,-36.76600936202815,0.0005658936139571487,-0.01623111904860539,0.3307028202368899,-0.5599259194762382,0.716072619047619
