bin,n,nu_median,delta_w_mean,tau_wsm,tau_wsm_lo,tau_wsm_hi,tau_topsis_minmax,tau_topsis_minmax_lo,tau_topsis_minmax_hi,tau_topsis,tau_topsis_lo,tau_topsis_hi,disagree_wsm,disagree_topsis_minmax,disagree_topsis
1.00-1.05,2,1.0263553508724192,0.003520870359964068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1.05-1.25,60,1.178857339027804,0.024530894250595344,0.9684391534391534,0.9409470899470901,0.9883617724867726,0.9302380952380952,0.9044325396825397,0.9540218253968253,0.9243915343915343,0.8977678571428571,0.9487123015873016,0.19999999999999996,0.41666666666666663,0.4666666666666667
1.25-1.75,296,1.5517564212044574,0.06224585504456825,0.9374410124410125,0.9268890765765765,0.9473313492063494,0.909550622050622,0.8963415647790649,0.9224174174174173,0.8974152724152725,0.8835845667095665,0.9105603818103817,0.44256756756756754,0.5472972972972974,0.5777027027027026
1.75-3.0,862,2.3327864341151905,0.12119423165424392,0.8455695503259308,0.8333227912201231,0.8579824052590874,0.9065351894818253,0.8988632931904394,0.9153328821861304,0.810689426582698,0.796659991529481,0.8237252329392701,0.642691415313225,0.5394431554524362,0.691415313225058
3.0-6.0,1086,4.207380484812931,0.19294660860967872,0.7785041948025373,0.7659912230699523,0.7908904089567073,0.8952644041041832,0.88707386944956,0.9032410330614751,0.7301499605367008,0.7158082302902745,0.7450312052383876,0.7440147329650092,0.5515653775322283,0.7983425414364641
>6.0,1694,13.216415920714983,0.29283083249734265,0.6554571690935327,0.640653168981091,0.6693757144731171,0.8986432038380091,0.8918243192593841,0.9048932506887054,0.6195011337868481,0.6043323775791308,0.6350988549689848,0.8152302243211333,0.5413223140495868,0.8471074380165289
