bin,n,delta_w_median,nu_median,delta_w_mean,tau_wsm,tau_wsm_lo,tau_wsm_hi,tau_topsis_minmax,tau_topsis_minmax_lo,tau_topsis_minmax_hi,tau_topsis,tau_topsis_lo,tau_topsis_hi,disagree_wsm,disagree_topsis_minmax,disagree_topsis
0-0.02,73,0.014186392177769819,1.6171788764615587,0.012946252836847083,0.9870841487279844,0.97866655794738,0.9946292672320071,0.9521200260926288,0.9346336160034788,0.9701717764731463,0.9532724505327245,0.9347445096760165,0.9706490541422049,0.15068493150684936,0.3287671232876712,0.3287671232876712
0.02-0.05,231,0.038156206625138335,1.6403076100293883,0.03693824405652028,0.9558166701023844,0.943961038961039,0.96642032570604,0.9244142101284958,0.9090972651686939,0.9373948670377242,0.9118669690098263,0.8958908816051675,0.9267230124372982,0.3246753246753247,0.4632034632034632,0.5108225108225108
0.05-0.10,561,0.07819654109365375,2.249022212545078,0.07733126849859985,0.9204396910279261,0.9111556743909685,0.9293142206377502,0.910944175650058,0.9014281470163823,0.9209058370823077,0.8817417876241407,0.8712887276122571,0.8928961887785417,0.500891265597148,0.516934046345811,0.6203208556149733
0.10-0.20,1327,0.14904657140309394,3.6225063449104233,0.14916275924417058,0.8302520304781044,0.8212058468200142,0.8391090417578738,0.8953194339780625,0.8876879164124831,0.9021846030549873,0.7911280965538688,0.7795017703137523,0.8018207019054796,0.6970610399397137,0.5764883195177091,0.746043707611153
0.20-0.30,929,0.2421685646185114,5.93668209111288,0.2441711029062578,0.7030174107676799,0.6872839885864643,0.7168650366497514,0.8947272199155946,0.8858534522528064,0.9042500469868607,0.6656380815691902,0.6499307157380354,0.6809902267329608,0.8417653390742734,0.5597416576964478,0.8579117330462863
>0.30,879,0.3773567126561475,13.805926524512858,0.40083498839218124,0.5212795926106506,0.49759931921194717,0.540869584845694,0.8983603301009444,0.8891233273741808,0.907483792910414,0.4791790815681601,0.4572755837260956,0.5001279412030265,0.9237770193401593,0.5255972696245734,0.9328782707622298
