n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
10,4,0.22906360361667477,0.08129118432529105,2.817816046291645,0.4499126379258875,0.18829884353074025,0.6888888888888889,0.8303030303030303,False,0.5111111111111111,0.7454545454545455,False,0.7777777777777778,0.9030303030303031,False
5,4,0.33268910787974043,0.1487103366702896,2.237161957444282,0.3496974256157587,0.14745065858634526,0.6,0.7,False,0.6,0.7,False,0.6,0.8,False
8,4,0.2502717065285652,0.0389385307448468,6.42735361953171,0.8080321945403284,0.11917378659876224,0.9285714285714286,0.9761904761904762,False,0.7857142857142857,0.9047619047619048,False,0.7857142857142857,0.9047619047619048,False
6,5,0.3998628570905446,0.04123605886274036,9.696922259516695,0.9866339138737141,0.14479236653702354,0.8666666666666667,0.9428571428571428,False,1.0,1.0,True,0.8666666666666667,0.9428571428571428,False
6,5,0.14397969386467008,0.004292866218194854,33.53929205175047,1.5255538912675881,0.4425050588526065,0.8666666666666667,0.9428571428571428,False,0.8666666666666667,0.9428571428571428,False,1.0,1.0,True
4,4,0.6827104400985937,0.021196003295344434,32.20939488230488,1.507982565808686,0.28917245077262715,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
6,3,0.19920133730095013,0.017077973548680264,11.664225660115255,1.0668559130653634,0.4263557517614996,0.06666666666666667,0.08571428571428574,False,0.06666666666666667,0.08571428571428574,False,1.0,1.0,True
5,4,0.7104772425855729,0.27363572738697234,2.596434498402426,0.41437737089749044,0.1051697025635624,0.6,0.7,False,1.0,1.0,True,1.0,1.0,True
4,5,0.536880930820637,0.11503444301495379,4.667132006247717,0.669050084745064,0.09959304555857074,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
8,5,0.12829477425080635,0.0002883817414056576,444.87828244805485,2.6482412053812605,0.31538372821366173,0.7857142857142857,0.9047619047619048,False,0.7857142857142857,0.9047619047619048,False,0.8571428571428571,0.9285714285714286,False
5,4,0.20832981148022248,0.012410916548151298,16.786013398379414,1.2249475654254796,0.40289520030495063,0.8,0.9,False,0.8,0.9,False,1.0,1.0,True
4,4,0.43410707807866333,0.22237141782016523,1.9521712022710553,0.2905179019276142,0.08168397378225038,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
8,4,0.5858446857496417,0.12705423598864815,4.610981138774262,0.6637933457407666,0.1586764360327858,1.0,1.0,True,1.0,1.0,True,0.9285714285714286,0.9761904761904762,False
5,5,0.8855791281510051,0.12004211330850312,7.377237069025328,0.8678937398248195,0.3790090410636237,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
8,3,0.5281922470423551,0.4989594716231346,1.0585874746962245,0.02472675107363648,0.003465850935446664,1.0,1.0,True,0.7857142857142857,0.9047619047619048,False,0.7857142857142857,0.9047619047619048,False
4,3,0.09366646668851698,0.029152240048990988,3.2130109565472633,0.5069122065225433,0.24222781627811024,0.6666666666666666,0.8,False,0.3333333333333333,0.4,False,1.0,1.0,True
5,3,0.4830056326254539,0.3436101164772333,1.4056793134495822,0.1478862536250515,0.04317135428662997,0.8,0.9,False,0.8,0.9,False,0.8,0.9,False
10,4,0.41491903846617617,0.021359023717434682,19.425936500462107,1.288381964779473,0.2491586872122287,0.7777777777777778,0.9151515151515152,False,0.7777777777777778,0.9151515151515152,False,0.8666666666666667,0.9515151515151515,False
4,3,0.2899909622400314,0.0641429674500257,4.52100945378688,0.655235415179214,0.30840972741149675,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
10,5,0.21317650500149216,0.0910776057620518,2.34060286516637,0.3693277323220191,0.18874793242374882,0.7777777777777778,0.8909090909090909,False,0.6,0.8303030303030303,False,0.8666666666666667,0.9636363636363636,False
4,3,0.43761394360841693,0.025120996919221664,17.42024590019955,1.2410542811163072,0.4845668843059143,-0.6666666666666666,-0.8,False,-0.3333333333333333,-0.6000000000000001,False,1.0,1.0,True
6,3,0.2443926058805866,0.043915382166779766,5.565079792471777,0.7454713956575658,0.35141069614175774,0.7333333333333333,0.8285714285714285,False,0.7333333333333333,0.8285714285714285,False,1.0,1.0,True
8,4,0.34491309128176667,0.01798131279208613,19.18175248107507,1.282888282610038,0.19564305138001978,0.8571428571428571,0.9523809523809523,False,0.8571428571428571,0.9523809523809523,False,1.0,1.0,True
4,4,0.3567720270209317,0.039699531165042115,8.986807061492572,0.9536054178864137,0.12937710814873085,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
5,3,0.9357771505894786,0.22203910654612716,4.214469987478816,0.6247429654408281,0.32932962140790695,0.8,0.9,False,0.8,0.9,False,1.0,1.0,True
5,3,0.6210404460794371,0.3577311572201891,1.7360535517890072,0.2395631176652149,0.06308397169854194,1.0,1.0,True,0.8,0.9,False,0.8,0.9,False
4,3,0.4104694022044673,0.14144218914381215,2.9020294771047284,0.46270181943145844,0.11424971257486462,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
5,4,0.2871951971816104,0.042990364519060464,6.680455036560516,0.8248060452804474,0.39614361679497356,0.4,0.6,False,0.4,0.6,False,1.0,1.0,True
