component,lambda,c_calib,implied_marginal,ratio
Pump,0.00709,0.11229646266142619,0.007090000000000001,1.0000000000000002
Turbine,0.00709,0.12374706100730108,0.007089999999999999,0.9999999999999999
Sensor,0.0005,0.3389830508474576,0.0005,1.0
Valve,0.000845,0.23255813953488372,0.000845,1.0
